,Unnamed: 0,callsign,typecode,origin,destination,firstseen,latitude_1,longitude_1,latitude_2,longitude_2,type,Departure Country,Arrival Country,Is International,date
0,28,GEC8400,B77L,EDDF,RKSI,2020-07-31,50.040916442871094,8.546297173751027,37.52041625976562,126.40839921667221,cargo,['DE'],['KR'],0,2020-07-31
1,145,GEC8475,B77L,VHHH,EDDF,2020-07-31,22.30137634277344,113.914140181108,50.04124657582428,8.547493187156883,cargo,['HK'],['DE'],0,2020-07-31
2,163,GEC8387,B77L,RKSI,EDDF,2020-07-31,37.50965881347656,126.4122561190991,50.04061812061374,8.544857953045819,cargo,['KR'],['DE'],0,2020-07-31
3,205,GEC8254,MD11,EDDF,SBKP,2020-07-31,50.04071122508937,8.548031368771115,-22.99624685513771,-47.15011596679688,cargo,['DE'],['BR'],0,2020-07-31
4,254,GEC8160,MD11,EDDF,KJFK,2020-07-31,50.040012941522114,8.545377576673353,40.65067097292108,-73.75059647993606,cargo,['DE'],['US'],0,2020-07-31
5,278,GEC8174,B77L,EDDF,KATL,2020-07-31,50.03522872924805,8.534877174778988,33.6202589132018,-84.41350936889648,cargo,['DE'],['US'],0,2020-07-31
6,378,GEC8188,MD11,EDDF,KORD,2020-07-31,50.039634704589844,8.543785496761924,41.965725139036024,-87.93610328851742,cargo,['DE'],['US'],0,2020-07-31
7,468,GEC8458,B77L,EDDF,VHHH,2020-07-31,50.04124657582428,8.547511745143582,22.3135117353019,113.905995686849,cargo,['DE'],['HK'],0,2020-07-31
10,1366,GEC8201,MD11,KDFW,EDDF,2020-07-31,32.9150390625,-97.02973657724806,50.03991983704648,8.542259834908151,cargo,['US'],['DE'],0,2020-07-31
12,15972,GEC8161,MD11,KJFK,EDDF,2020-08-01,40.6272086450609,-73.78155795010653,50.039966389284295,8.545191996806379,cargo,['US'],['DE'],0,2020-08-01
13,16772,GEC8175,B77L,KATL,EDDF,2020-08-01,33.620361328125,-84.45061508490112,50.039675437797925,8.544004285657728,cargo,['US'],['DE'],0,2020-08-01
14,16945,GEC8402,B77L,EDDF,RKSI,2020-08-01,50.04063034057617,8.54488774349815,37.30077193955243,126.6026836892833,cargo,['DE'],['KR'],0,2020-08-01
16,17603,GEC8410,B77L,EDDF,RKSI,2020-08-01,50.041236877441406,8.54747169896176,37.30724270060911,126.59653373386551,cargo,['DE'],['KR'],0,2020-08-01
17,17691,GEC8189,MD11,KORD,EDDF,2020-08-01,41.96571350097656,-87.89948896928267,50.0408821105957,8.546279104132402,cargo,['US'],['DE'],0,2020-08-01
19,27268,GEC8476,B77L,EDDF,VOBL,2020-08-01,50.0405158996582,8.546477869937293,13.18936157226562,77.73291226091055,cargo,['DE'],['IN'],0,2020-08-01
22,38548,GEC8172,MD11,EDDF,KATL,2020-08-01,50.04033279418945,8.54364093981291,33.63473510742188,-84.39579554966518,cargo,['DE'],['US'],0,2020-08-01
23,43600,GEC8459,B77L,VHHH,EDDF,2020-08-01,22.300989183328923,113.91286214192706,50.04122543334961,8.547399420487253,cargo,['HK'],['DE'],0,2020-08-01
24,43921,GEC8360,MD11,EDDF,VABB,2020-08-01,50.03996658325195,8.545176857396175,19.08925719180349,72.9041748046875,cargo,['DE'],['IN'],0,2020-08-01
25,44072,GEC8255,MD11,SBKP,EDDF,2020-08-01,-23.00453315346931,-47.13851928710938,50.04065322875977,8.548031857139183,cargo,['BR'],['DE'],0,2020-08-01
26,51045,GEC8385,B77L,RKSI,EDDF,2020-08-01,37.49549995034428,126.42391702403192,50.04061889648438,8.544869673879521,cargo,['KR'],['DE'],0,2020-08-01
27,53457,GEC8176,B77L,EDDF,KATL,2020-08-01,50.03962888556011,8.543781589817357,33.63185042041843,-84.4123649597168,cargo,['DE'],['US'],0,2020-08-01
28,54625,GEC8160,MD11,EDDF,KJFK,2020-08-01,50.04124657582428,8.547474629170187,40.65252685546875,-73.7491455078125,cargo,['DE'],['US'],0,2020-08-01
30,66113,GEC8476,B77L,VOBL,VHHH,2020-08-01,13.18972778320312,77.69024552970096,22.31153869628906,113.8997081409801,cargo,['IN'],['HK'],0,2020-08-01
31,69503,GEC8413,B77L,RKSI,EDDF,2020-08-01,37.5015982934984,126.4188418181046,50.03770065307617,8.543550591719777,cargo,['KR'],['DE'],0,2020-08-01
32,71371,GEC8443,B77L,RKSI,EDDF,2020-08-02,37.503832800913656,126.41693115234379,50.03207015991211,8.54687540154708,cargo,['KR'],['DE'],0,2020-08-02
33,73848,GEC8173,MD11,KATL,EDDF,2020-08-02,33.634736659163124,-84.45161819458008,50.03693389892578,8.529727333470394,cargo,['US'],['DE'],0,2020-08-02
34,74681,GEC8361,MD11,VAJJ,EDDF,2020-08-02,19.08855890823623,72.83401211825284,50.04072189331055,8.546351382606908,cargo,['IN'],['DE'],0,2020-08-02
35,78565,GEC8342,MD11,EDDF,LLBG,2020-08-02,50.04030389300847,8.543484662030194,32.04400634765625,34.809521484375,cargo,['DE'],['IL'],0,2020-08-02
36,79458,GEC8477,B77L,VHHH,EDDF,2020-08-02,22.300570213188557,113.91159057617192,50.03921127319336,8.542683250025696,cargo,['HK'],['DE'],0,2020-08-02
37,79538,GEC8161,MD11,KJFK,EDDF,2020-08-02,40.626370704780186,-73.78224459561437,50.04008276987884,8.542556762695312,cargo,['US'],['DE'],0,2020-08-02
38,80562,GEC8177,B77L,KATL,EDDF,2020-08-02,33.634736659163124,-84.44812774658203,50.040012941522114,8.54539613466005,cargo,['US'],['DE'],0,2020-08-02
39,81900,GEC8406,B77L,EDDF,RKSI,2020-08-02,50.04122543334961,8.54720065468236,37.52243041992188,126.4058863863032,cargo,['DE'],['KR'],0,2020-08-02
40,82343,GEC8430,B77L,EDDF,RKSI,2020-08-02,50.040525016138105,8.545730178420609,37.51980021848517,126.4082137398098,cargo,['DE'],['KR'],0,2020-08-02
41,89023,GEC8186,MD11,EDDF,KORD,2020-08-02,50.04065303479211,8.548031368771115,41.96217727661133,-87.91484485973012,cargo,['DE'],['US'],0,2020-08-02
42,90375,GEC8343,MD11,LLBG,EDDF,2020-08-02,32.007705688476555,34.8303955078125,50.04001235961914,8.546766983835322,cargo,['IL'],['DE'],0,2020-08-02
44,96498,GEC8400,B77L,EDDF,RKSI,2020-08-02,50.04015259823557,8.546212686074746,37.51986694335938,126.4081070270944,cargo,['DE'],['KR'],0,2020-08-02
45,103204,GEC8264,MD11,EDDF,SBKP,2020-08-02,50.0358232401185,8.529584729993665,-23.00383486990201,-47.13948567708334,cargo,['DE'],['BR'],0,2020-08-02
47,111768,GEC8170,B77L,EDDF,KATL,2020-08-02,50.04034423828125,8.546459800318669,33.63180541992188,-84.4144610969388,cargo,['DE'],['US'],0,2020-08-02
48,115254,GEC8160,MD11,EDDF,KJFK,2020-08-02,50.04119110107422,8.547182585063734,40.64891052246094,-73.751953125,cargo,['DE'],['US'],0,2020-08-02
49,119626,GEC8370,MD11,EDDF,VABB,2020-08-02,50.04028061688956,8.543317640149915,19.08857345581055,72.8576864515032,cargo,['DE'],['IN'],0,2020-08-02
52,129411,GEC8187,MD11,KORD,EDDF,2020-08-02,41.969076900158896,-87.89088049600286,50.040321350097656,8.543659009431536,cargo,['US'],['DE'],0,2020-08-02
53,131584,GEC8407,B77L,RKSI,EDDF,2020-08-03,37.50173950195312,126.41885960355721,50.04061889648438,8.547869230571546,cargo,['KR'],['DE'],0,2020-08-03
54,141159,GEC8161,MD11,KJFK,EDDF,2020-08-03,40.63144489870233,-73.77818714488636,50.04261016845703,8.58209308825041,cargo,['US'],['DE'],0,2020-08-03
57,142140,GEC8171,B77L,KATL,EDDF,2020-08-03,33.63171076370498,-84.45322036743164,50.04123493776483,8.547493187156883,cargo,['US'],['DE'],0,2020-08-03
60,152424,GEC8476,B77L,EDDF,VOBL,2020-08-03,50.04111099243164,8.547074167351973,13.189319675251589,77.74017333984375,cargo,['DE'],['IN'],0,2020-08-03
63,158050,GEC8404,B77L,EDDF,RKSI,2020-08-03,50.04050174001921,8.54743751319679,37.52045194981461,126.4076763650645,cargo,['DE'],['KR'],0,2020-08-03
64,160021,CGECT,PC12,CYTZ,CYFJ,2020-08-03,43.62867736816406,-79.39838498137715,46.515321893207094,-74.95188903808594,cargo,['CA'],['CA'],1,2020-08-03
65,161420,GEC8265,MD11,SAEZ,SBKP,2020-08-03,-34.828262329101555,-58.527084661989754,-23.00523143703657,-47.13755289713538,cargo,['AR'],['BR'],0,2020-08-03
66,163429,GEC8174,MD11,EDDF,KATL,2020-08-03,50.040321350097656,8.543659009431536,33.63180541992188,-84.41305977957586,cargo,['DE'],['US'],0,2020-08-03
67,167714,CGECT,PC12,CYFJ,CYTZ,2020-08-03,46.42636056673729,-74.8231430053711,43.6263427734375,-79.40777445948402,cargo,['CA'],['CA'],1,2020-08-03
68,172539,GEC8400,B77L,EDDF,RKSI,2020-08-03,50.04121398925781,8.547236793919613,37.5235243975106,126.4049297830333,cargo,['DE'],['KR'],0,2020-08-03
69,173781,GEC8254,MD11,EDDF,SBKP,2020-08-03,50.04060745239258,8.544815465023643,-22.997084795418463,-47.148946126302064,cargo,['DE'],['BR'],0,2020-08-03
71,178586,GEC8265,MD11,SBKP,EDDF,2020-08-03,-23.01393127441406,-47.125355113636324,50.039675437797925,8.543948611697635,cargo,['BR'],['DE'],0,2020-08-03
73,191646,GEC8476,B77L,VOBL,VHHH,2020-08-03,13.189785197629767,77.69511975740132,22.317329018802965,113.91779581705731,cargo,['IN'],['HK'],0,2020-08-03
74,200003,GEC8175,MD11,KATL,EDDF,2020-08-04,33.63473510742188,-84.42118742028059,50.03954315185547,8.547001888877466,cargo,['US'],['DE'],0,2020-08-04
76,206138,GEC8477,B77L,VHHH,EDDF,2020-08-04,22.30105590820312,113.91309148615059,50.0396056094412,8.547752998970651,cargo,['HK'],['DE'],0,2020-08-04
78,211061,GEC8430,B77L,EDDF,RKSI,2020-08-04,50.04097366333008,8.54687540154708,37.51968383789062,126.4083407787567,cargo,['DE'],['KR'],0,2020-08-04
80,211670,GEC8342,MD11,EDDF,LLBG,2020-08-04,50.04003621764102,8.545507482580236,31.952338784427965,34.86696204360651,cargo,['DE'],['IL'],0,2020-08-04
81,213333,GEC8400,B77L,EDDF,RKSI,2020-08-04,50.04061812061374,8.547901462864232,37.51885986328125,126.4090420337434,cargo,['DE'],['KR'],0,2020-08-04
82,214172,CGECT,PC12,CYTZ,CNA3,2020-08-04,43.62986755371094,-79.39378605332485,44.3331298828125,-79.81737409319197,cargo,['CA'],['CA'],1,2020-08-04
84,215938,GEC8266,MD11,EDDF,SBGR,2020-08-04,50.039687075857394,8.544022843644425,-23.443427651615465,-46.50375366210938,cargo,['DE'],['BR'],0,2020-08-04
85,216411,CGECT,PC12,CNY3,CRK2,2020-08-04,44.48982238769531,-80.30875069754467,53.148364050913656,-113.230671602137,cargo,['CA'],['CA'],1,2020-08-04
88,230912,GEC8343,MD11,LLBG,EDDF,2020-08-04,32.009353637695305,34.84215087890625,50.039687075857394,8.544022843644425,cargo,['IL'],['DE'],0,2020-08-04
89,231709,GEC8188,MD11,EDDF,KORD,2020-08-04,50.040839243743385,8.546286918021536,41.965725139036024,-87.92511696039242,cargo,['DE'],['US'],0,2020-08-04
92,239309,GEC8160,MD11,EDDF,KJFK,2020-08-04,50.04121166164592,8.547251933329813,40.6497802734375,-73.7513427734375,cargo,['DE'],['US'],0,2020-08-04
93,241079,GEC8462,B77L,EDDF,OMSJ,2020-08-04,50.036696094577586,8.529863099794131,25.33390045166016,55.50963083902995,cargo,['DE'],['AE'],0,2020-08-04
95,252813,GEC8187,MD11,KORD,EDDF,2020-08-04,41.969123452396715,-87.88455696993094,50.0407810534461,8.546324033994932,cargo,['US'],['DE'],0,2020-08-04
97,260629,GEC8462,B77L,OMSJ,VHHH,2020-08-05,25.3268846414857,55.51107874456441,22.31630486957097,113.91474405924481,cargo,['AE'],['HK'],0,2020-08-05
98,261361,GEC8390,MD11,EDDF,RKSI,2020-08-05,50.03969192504883,8.544038471422697,37.51584327827065,126.4116768215014,cargo,['DE'],['KR'],0,2020-08-05
99,261903,GEC8266,MD11,SBGR,SAEZ,2020-08-05,-23.41949980137713,-46.43071492513019,-34.815161753509024,-58.57538223266602,cargo,['BR'],['AR'],0,2020-08-05
101,265480,GEC8161,MD11,KJFK,EDDF,2020-08-05,40.62835693359375,-73.772216796875,50.03969192504883,8.544038471422697,cargo,['US'],['DE'],0,2020-08-05
102,266790,GEC8189,MD11,KORD,EDDF,2020-08-05,41.961407418978425,-87.9141945062682,50.03996658325195,8.545176857396175,cargo,['US'],['DE'],0,2020-08-05
103,267774,GEC8404,B77L,EDDF,RKSI,2020-08-05,50.04009440793829,8.545711620433911,37.52009582519531,126.40799015126328,cargo,['DE'],['KR'],0,2020-08-05
104,268338,GEC8410,B77L,EDDF,RKSI,2020-08-05,50.04071122508937,8.546138454127957,37.52865600585938,126.40033478432508,cargo,['DE'],['KR'],0,2020-08-05
105,270947,GEC8267,MD11,SAEZ,SBKP,2020-08-05,-34.82363426079183,-58.52783203125,-22.99850463867188,-47.14687832919032,cargo,['AR'],['BR'],0,2020-08-05
108,282981,GEC8267,MD11,SBKP,EDDF,2020-08-05,-23.01025907872088,-47.13053385416663,50.03965759277344,8.543893914473683,cargo,['BR'],['DE'],0,2020-08-05
109,291385,GEC8174,B77L,EDDF,KATL,2020-08-05,50.04026412963867,8.543333756296258,33.63185042041843,-84.45219039916992,cargo,['DE'],['US'],0,2020-08-05
110,294675,GEC8374,MD11,EDDF,VIDP,2020-08-05,50.041236877441406,8.547291002775493,28.56622211003707,77.08934110753677,cargo,['DE'],['IN'],0,2020-08-05
111,294790,GEC8473,B77L,VHHH,EDDF,2020-08-05,22.301221944518012,113.91367594401041,50.04536819458008,8.575316981265418,cargo,['HK'],['DE'],0,2020-08-05
112,298642,GEC8188,B77L,EDDF,KORD,2020-08-05,50.040641396732646,8.545748736407306,41.96577169127383,-87.88787841796875,cargo,['DE'],['US'],0,2020-08-05
113,298644,GEC8264,MD11,EDDF,SBKP,2020-08-05,50.03969192504883,8.544038471422697,-22.99708557128906,-47.14892578125,cargo,['DE'],['BR'],0,2020-08-05
115,299708,CGECT,PC12,CFQ7,CNV8,2020-08-05,53.269260212526476,-113.4945050407858,44.375501729674255,-79.97068823837651,cargo,['CA'],['CA'],1,2020-08-05
117,304759,GEC8160,MD11,EDDF,KJFK,2020-08-05,50.03997802734375,8.54524767076647,40.651089943061436,-73.7503467906605,cargo,['DE'],['US'],0,2020-08-05
118,311908,GEC8391,MD11,RJBB,RKSI,2020-08-05,34.44125417935646,135.2251052856445,37.5261778750662,126.4024817425272,cargo,['JP'],['KR'],0,2020-08-05
119,321568,CGECT,PC12,CLV2,CYTZ,2020-08-05,44.3834621623411,-80.1358181092797,43.63434355137711,-79.37504359654018,cargo,,['CA'],0,2020-08-05
123,330627,GEC8175,B77L,KATL,EDDF,2020-08-06,33.63185042041843,-84.41699981689453,50.04124657582428,8.547511745143582,cargo,['US'],['DE'],0,2020-08-06
124,331486,GEC8375,MD11,VIDP,EDDF,2020-08-06,28.54066493147511,77.0959113625919,50.04065322875977,8.548049926757812,cargo,['IN'],['DE'],0,2020-08-06
125,333798,GEC8189,B77L,KORD,EDDF,2020-08-06,41.96905517578125,-87.90779113769531,50.03968048095703,8.544002332185443,cargo,['US'],['DE'],0,2020-08-06
127,334784,GEC8161,MD11,KJFK,EDDF,2020-08-06,40.639451883607,-73.79697626287287,50.04032716912738,8.543670241897171,cargo,['US'],['DE'],0,2020-08-06
128,336973,GEC8391,MD11,RKSI,EDDF,2020-08-06,37.49221801757812,126.4268655979887,50.04379531084482,8.581509976773653,cargo,['KR'],['DE'],0,2020-08-06
129,337028,GEC8402,B77L,EDDF,RKSI,2020-08-06,50.04061889648438,8.544869673879521,37.29986572265625,126.60323122714428,cargo,['DE'],['KR'],0,2020-08-06
130,342109,GEC8384,B77L,EDDF,EDDF,2020-08-06,50.04031553106793,8.543633125923776,50.04030990600586,8.54364093981291,cargo,['DE'],['DE'],1,2020-08-06
134,354115,GEC8400,B77L,EDDF,RKSI,2020-08-06,50.03760386321504,8.533797392974027,37.51942780058263,126.408631697945,cargo,['DE'],['KR'],0,2020-08-06
135,361180,GEC8340,MD11,EDDF,LLBG,2020-08-06,50.0402457027112,8.546620961782095,32.044418334960945,34.808587646484376,cargo,['DE'],['IL'],0,2020-08-06
137,364974,GEC8186,MD11,EDDF,KORD,2020-08-06,50.039966389284295,8.545210554793075,41.965725139036024,-87.93259021847746,cargo,['DE'],['US'],0,2020-08-06
138,368453,GEC8174,B77L,EDDF,KATL,2020-08-06,50.03968048095703,8.543984262566816,33.63180386818061,-84.41207885742188,cargo,['DE'],['US'],0,2020-08-06
139,373370,GEC8265,MD11,SAEZ,SBKP,2020-08-06,-34.82281494140625,-58.53201729910711,-23.00686076536016,-47.135264078776,cargo,['AR'],['BR'],0,2020-08-06
140,375028,GEC8160,MD11,EDDF,KJFK,2020-08-06,50.04026412963867,8.543098851254111,40.65032958984375,-73.75079345703125,cargo,['DE'],['US'],0,2020-08-06
141,378543,GEC8474,B77L,EDDF,VOBL,2020-08-06,50.040699587029934,8.545117764859588,13.18940734863281,77.73892632846173,cargo,['DE'],['IN'],0,2020-08-06
142,381309,GEC8200,MD11,EDDF,KORD,2020-08-06,50.04065322875977,8.548049926757812,41.96576005321438,-87.90478905966114,cargo,['DE'],['US'],0,2020-08-06
144,382591,GEC8341,MD11,LLBG,LTBW,2020-08-06,32.00820922851562,34.839349365234376,41.19474792480469,28.7291259765625,cargo,['IL'],['TR'],0,2020-08-06
145,387632,GEC8265,MD11,SBKP,EDDF,2020-08-06,-23.00994873046875,-47.13094815340907,50.04258495266154,8.582085274361276,cargo,['BR'],['DE'],0,2020-08-06
150,399828,GEC8390,MD11,EDDF,EDDF,2020-08-07,50.03998947143555,8.545321414345189,50.030132229045286,8.534706734322214,cargo,['DE'],['DE'],1,2020-08-07
151,400570,GEC8390,MD11,EDDF,RKSI,2020-08-07,50.0301555051642,8.534799524255703,37.50837707519531,126.41827522440157,cargo,['DE'],['KR'],0,2020-08-07
152,402198,GEC8187,MD11,KORD,EDDF,2020-08-07,41.96905517578125,-87.90772871537642,50.03700256347656,8.570817646227384,cargo,['US'],['DE'],0,2020-08-07
157,405589,GEC8474,B77L,VOBL,VHHH,2020-08-07,13.18969209315413,77.69377055921053,22.31208801269531,113.9015558416193,cargo,['IN'],['HK'],0,2020-08-07
158,407421,GEC8200,MD11,KORD,KDFW,2020-08-07,41.96581824351165,-87.90614638217659,32.92006670418432,-97.02984868263712,cargo,['US'],['US'],1,2020-08-07
159,418439,CGECT,PC12,CYTZ,CYYZ,2020-08-07,43.630153849973524,-79.39256940569197,43.67568969726562,-79.66180136037423,cargo,['CA'],['CA'],1,2020-08-07
160,420226,GEC8201,MD11,KDFW,EDDF,2020-08-07,32.88375595868644,-97.03001684072063,50.03881072998047,8.541255750154193,cargo,['US'],['DE'],0,2020-08-07
162,422168,CGECT,PC12,CYYZ,KSYR,2020-08-07,43.69076486361229,-79.63995797293529,43.09597778320312,-76.07700081758719,cargo,['CA'],['US'],0,2020-08-07
163,423221,GEC8400,B77L,EDDF,RKSI,2020-08-07,50.040699587029934,8.545618830500423,37.50938415527344,126.41751553149929,cargo,['DE'],['KR'],0,2020-08-07
164,423825,GEC8186,MD11,EDDF,KORD,2020-08-07,50.04128149000265,8.547660209037161,41.96575927734375,-87.94530695134944,cargo,['DE'],['US'],0,2020-08-07
165,427754,GEC8430,B77L,EDDF,RKSI,2020-08-07,50.04061889648438,8.547887300190173,37.51575017379502,126.4116768215014,cargo,['DE'],['KR'],0,2020-08-07
