,date,type,Is International,Unnamed: 0,callsign,typecode,origin,destination,firstseen,latitude_1,longitude_1,latitude_2,longitude_2,Departure Country,Arrival Country
3,2019-01-01,passenger,0,407,407,377,407,407,407,407,407,407,407,405,406
4,2019-01-01,passenger,1,171,171,166,171,171,171,171,171,171,171,171,171
5,2019-01-02,cargo,0,3,3,3,3,3,3,3,3,3,3,3,3
6,2019-01-02,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2019-01-02,passenger,0,615,615,577,615,615,615,615,615,615,615,614,614
8,2019-01-02,passenger,1,246,246,236,246,246,246,246,246,246,246,246,246
9,2019-01-03,cargo,0,10,10,10,10,10,10,10,10,10,10,10,10
10,2019-01-03,cargo,1,2,2,0,2,2,2,2,2,2,2,2,2
11,2019-01-03,passenger,0,613,613,572,613,613,613,613,613,613,613,612,612
12,2019-01-03,passenger,1,251,251,249,251,251,251,251,251,251,251,251,251
13,2019-01-04,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
14,2019-01-04,cargo,1,2,2,0,2,2,2,2,2,2,2,2,2
15,2019-01-04,passenger,0,607,607,574,607,607,607,607,607,607,607,606,606
16,2019-01-04,passenger,1,219,219,214,219,219,219,219,219,219,219,219,219
17,2019-01-05,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
18,2019-01-05,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
19,2019-01-05,passenger,0,556,556,514,556,556,556,556,556,556,556,555,555
20,2019-01-05,passenger,1,162,162,158,162,162,162,162,162,162,162,162,162
21,2019-01-06,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
22,2019-01-06,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
23,2019-01-06,passenger,0,621,621,585,621,621,621,621,621,621,621,620,620
24,2019-01-06,passenger,1,219,219,208,219,219,219,219,219,219,219,219,219
25,2019-01-07,cargo,0,6,6,6,6,6,6,6,6,6,6,6,6
26,2019-01-07,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2019-01-07,passenger,0,661,661,625,661,661,661,661,661,661,661,659,660
28,2019-01-07,passenger,1,307,307,293,307,307,307,307,307,307,307,307,307
29,2019-01-08,cargo,0,7,7,7,7,7,7,7,7,7,7,7,7
30,2019-01-08,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
31,2019-01-08,passenger,0,649,649,610,649,649,649,649,649,649,649,648,646
32,2019-01-08,passenger,1,303,303,296,303,303,303,303,303,303,303,303,303
33,2019-01-09,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
34,2019-01-09,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
35,2019-01-09,passenger,0,642,642,601,642,642,642,642,642,642,642,640,641
36,2019-01-09,passenger,1,263,263,258,263,263,263,263,263,263,263,263,263
37,2019-01-10,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
38,2019-01-10,passenger,0,594,594,560,594,594,594,594,594,594,594,593,593
39,2019-01-10,passenger,1,254,254,247,254,254,254,254,254,254,254,254,254
40,2019-01-11,cargo,0,16,16,16,16,16,16,16,16,16,16,16,16
41,2019-01-11,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
42,2019-01-11,passenger,0,550,550,523,550,550,550,550,550,550,550,550,550
43,2019-01-11,passenger,1,248,248,239,248,248,248,248,248,248,248,248,248
44,2019-01-12,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
45,2019-01-12,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
46,2019-01-12,passenger,0,518,518,479,518,518,518,518,518,518,518,517,517
47,2019-01-12,passenger,1,210,210,202,210,210,210,210,210,210,210,210,210
48,2019-01-13,cargo,0,9,9,9,9,9,9,9,9,9,9,9,9
49,2019-01-13,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
50,2019-01-13,passenger,0,547,547,517,547,547,547,547,547,547,547,546,546
51,2019-01-13,passenger,1,237,237,228,237,237,237,237,237,237,237,237,237
52,2019-01-14,cargo,0,11,11,11,11,11,11,11,11,11,11,11,11
53,2019-01-14,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
54,2019-01-14,passenger,0,567,567,535,567,567,567,567,567,567,567,566,566
55,2019-01-14,passenger,1,301,301,293,301,301,301,301,301,301,301,301,301
56,2019-01-15,cargo,0,9,9,9,9,9,9,9,9,9,9,9,9
57,2019-01-15,passenger,0,351,351,339,351,351,351,351,351,351,351,351,351
58,2019-01-15,passenger,1,176,176,174,176,176,176,176,176,176,176,176,176
59,2019-01-16,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
60,2019-01-16,cargo,1,3,3,3,3,3,3,3,3,3,3,3,3
61,2019-01-16,passenger,0,531,531,495,531,531,531,531,531,531,531,530,529
62,2019-01-16,passenger,1,330,330,321,330,330,330,330,330,330,330,330,330
63,2019-01-17,cargo,0,8,8,8,8,8,8,8,8,8,8,8,8
64,2019-01-17,passenger,0,531,531,498,531,531,531,531,531,531,531,529,529
65,2019-01-17,passenger,1,325,325,317,325,325,325,325,325,325,325,325,325
66,2019-01-18,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
67,2019-01-18,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
68,2019-01-18,passenger,0,549,549,512,549,549,549,549,549,549,549,548,547
69,2019-01-18,passenger,1,335,335,321,335,335,335,335,335,335,335,335,335
70,2019-01-19,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
71,2019-01-19,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
