,date,type,Is International,Unnamed: 0,callsign,typecode,origin,destination,firstseen,latitude_1,longitude_1,latitude_2,longitude_2,Departure Country,Arrival Country
3,2019-01-02,passenger,0,615,615,577,615,615,615,615,615,615,615,614,614
4,2019-01-02,passenger,1,246,246,236,246,246,246,246,246,246,246,246,246
5,2019-01-03,passenger,0,613,613,572,613,613,613,613,613,613,613,612,612
6,2019-01-03,passenger,1,251,251,249,251,251,251,251,251,251,251,251,251
7,2019-01-04,passenger,0,607,607,574,607,607,607,607,607,607,607,606,606
8,2019-01-04,passenger,1,219,219,214,219,219,219,219,219,219,219,219,219
9,2019-01-05,passenger,0,556,556,514,556,556,556,556,556,556,556,555,555
10,2019-01-05,passenger,1,162,162,158,162,162,162,162,162,162,162,162,162
11,2019-01-06,passenger,0,621,621,585,621,621,621,621,621,621,621,620,620
12,2019-01-06,passenger,1,219,219,208,219,219,219,219,219,219,219,219,219
13,2019-01-07,passenger,0,661,661,625,661,661,661,661,661,661,661,659,660
14,2019-01-07,passenger,1,307,307,293,307,307,307,307,307,307,307,307,307
15,2019-01-08,passenger,0,649,649,610,649,649,649,649,649,649,649,648,646
16,2019-01-08,passenger,1,303,303,296,303,303,303,303,303,303,303,303,303
17,2019-01-09,passenger,0,642,642,601,642,642,642,642,642,642,642,640,641
18,2019-01-09,passenger,1,263,263,258,263,263,263,263,263,263,263,263,263
19,2019-01-10,passenger,0,594,594,560,594,594,594,594,594,594,594,593,593
20,2019-01-10,passenger,1,254,254,247,254,254,254,254,254,254,254,254,254
21,2019-01-11,passenger,0,550,550,523,550,550,550,550,550,550,550,550,550
22,2019-01-11,passenger,1,248,248,239,248,248,248,248,248,248,248,248,248
23,2019-01-12,passenger,0,518,518,479,518,518,518,518,518,518,518,517,517
24,2019-01-12,passenger,1,210,210,202,210,210,210,210,210,210,210,210,210
25,2019-01-13,passenger,0,547,547,517,547,547,547,547,547,547,547,546,546
26,2019-01-13,passenger,1,237,237,228,237,237,237,237,237,237,237,237,237
27,2019-01-14,passenger,0,567,567,535,567,567,567,567,567,567,567,566,566
28,2019-01-14,passenger,1,301,301,293,301,301,301,301,301,301,301,301,301
29,2019-01-15,passenger,0,351,351,339,351,351,351,351,351,351,351,351,351
30,2019-01-15,passenger,1,176,176,174,176,176,176,176,176,176,176,176,176
31,2019-01-16,passenger,0,531,531,495,531,531,531,531,531,531,531,530,529
32,2019-01-16,passenger,1,330,330,321,330,330,330,330,330,330,330,330,330
33,2019-01-17,passenger,0,531,531,498,531,531,531,531,531,531,531,529,529
34,2019-01-17,passenger,1,325,325,317,325,325,325,325,325,325,325,325,325
35,2019-01-18,passenger,0,549,549,512,549,549,549,549,549,549,549,548,547
36,2019-01-18,passenger,1,335,335,321,335,335,335,335,335,335,335,335,335
37,2019-01-19,passenger,0,487,487,450,487,487,487,487,487,487,487,485,486
38,2019-01-19,passenger,1,223,223,217,223,223,223,223,223,223,223,223,223
39,2019-01-20,passenger,0,610,610,573,610,610,610,610,610,610,610,609,607
40,2019-01-20,passenger,1,244,244,233,244,244,244,244,244,244,244,244,244
41,2019-01-21,passenger,0,686,686,626,686,686,686,686,686,686,686,684,684
42,2019-01-21,passenger,1,336,336,327,336,336,336,336,336,336,336,336,336
43,2019-01-22,passenger,0,661,661,608,661,661,661,661,661,661,661,659,659
44,2019-01-22,passenger,1,334,334,325,334,334,334,334,334,334,334,334,334
45,2019-01-23,passenger,0,669,669,622,669,669,669,669,669,669,669,667,667
46,2019-01-23,passenger,1,338,338,329,338,338,338,338,338,338,338,338,338
47,2019-01-24,passenger,0,664,664,608,664,664,664,664,664,664,664,661,661
48,2019-01-24,passenger,1,338,338,324,338,338,338,338,338,338,338,338,338
49,2019-01-25,passenger,0,652,652,599,652,652,652,652,652,652,652,651,651
50,2019-01-25,passenger,1,297,297,286,297,297,297,297,297,297,297,297,297
51,2019-01-26,passenger,0,614,614,561,614,614,614,614,614,614,614,612,612
52,2019-01-26,passenger,1,225,225,220,225,225,225,225,225,225,225,225,225
53,2019-01-27,passenger,0,633,633,582,633,633,633,633,633,633,633,631,631
54,2019-01-27,passenger,1,246,246,238,246,246,246,246,246,246,246,246,246
55,2019-01-28,passenger,0,686,686,624,686,686,686,686,686,686,686,683,683
56,2019-01-28,passenger,1,330,330,321,330,330,330,330,330,330,330,330,330
57,2019-01-29,passenger,0,659,659,604,659,659,659,659,659,659,659,657,656
58,2019-01-29,passenger,1,344,344,332,344,344,344,344,344,344,344,344,344
59,2019-01-30,passenger,0,680,680,625,680,680,680,680,680,680,680,676,676
60,2019-01-30,passenger,1,321,321,305,321,321,321,321,321,321,321,321,321
61,2019-01-31,passenger,0,640,640,583,640,640,640,640,640,640,640,638,639
62,2019-01-31,passenger,1,315,315,301,315,315,315,315,315,315,315,315,315
63,2019-02-01,passenger,0,699,699,648,699,699,699,699,699,699,699,698,698
64,2019-02-01,passenger,1,319,319,306,319,319,319,319,319,319,319,319,319
65,2019-02-02,passenger,0,634,634,581,634,634,634,634,634,634,634,631,630
66,2019-02-02,passenger,1,228,228,214,228,228,228,228,228,228,228,228,228
67,2019-02-03,passenger,0,536,536,488,536,536,536,536,536,536,536,535,535
68,2019-02-03,passenger,1,167,167,152,167,167,167,167,167,167,167,167,167
69,2019-02-04,passenger,0,648,648,585,648,648,648,648,648,648,648,645,645
70,2019-02-04,passenger,1,252,252,243,252,252,252,252,252,252,252,252,252
71,2019-02-05,passenger,0,663,663,611,663,663,663,663,663,663,663,662,661
72,2019-02-05,passenger,1,328,328,319,328,328,328,328,328,328,328,328,328
73,2019-02-06,passenger,0,679,679,627,679,679,679,679,679,679,679,677,676
74,2019-02-06,passenger,1,338,338,309,338,338,338,338,338,338,338,338,338
75,2019-02-07,passenger,0,670,670,619,670,670,670,670,670,670,670,669,669
76,2019-02-07,passenger,1,296,296,283,296,296,296,296,296,296,296,296,296
77,2019-02-08,passenger,0,720,720,667,720,720,720,720,720,720,720,718,718
78,2019-02-08,passenger,1,339,339,329,339,339,339,339,339,339,339,339,339
79,2019-02-09,passenger,0,660,660,601,660,660,660,660,660,660,660,659,658
80,2019-02-09,passenger,1,225,225,214,225,225,225,225,225,225,225,225,225
81,2019-02-10,passenger,0,679,679,616,679,679,679,679,679,679,679,678,678
82,2019-02-10,passenger,1,250,250,231,250,250,250,250,250,250,250,250,250
83,2019-02-11,passenger,0,734,734,674,734,734,734,734,734,734,734,732,732
84,2019-02-11,passenger,1,344,344,318,344,344,344,344,344,344,344,344,344
85,2019-02-12,passenger,0,700,700,635,700,700,700,700,700,700,700,698,698
86,2019-02-12,passenger,1,345,345,331,345,345,345,345,345,345,345,345,345
87,2019-02-13,passenger,0,697,697,636,697,697,697,697,697,697,697,695,695
88,2019-02-13,passenger,1,368,368,362,368,368,368,368,368,368,368,368,368
89,2019-02-14,passenger,0,716,716,663,716,716,716,716,716,716,716,714,713
90,2019-02-14,passenger,1,369,369,351,369,369,369,369,369,369,369,369,369
91,2019-02-15,passenger,0,727,727,668,727,727,727,727,727,727,727,726,726
92,2019-02-15,passenger,1,358,358,343,358,358,358,358,358,358,358,358,358
93,2019-02-16,passenger,0,689,689,623,689,689,689,689,689,689,689,688,688
94,2019-02-16,passenger,1,228,228,221,228,228,228,228,228,228,228,228,228
95,2019-02-17,passenger,0,697,697,635,697,697,697,697,697,697,697,696,696
96,2019-02-17,passenger,1,251,251,233,251,251,251,251,251,251,251,251,251
97,2019-02-18,passenger,0,742,742,680,742,742,742,742,742,742,742,740,740
98,2019-02-18,passenger,1,359,359,340,359,359,359,359,359,359,359,359,359
99,2019-02-19,passenger,0,745,745,688,745,745,745,745,745,745,745,743,743
100,2019-02-19,passenger,1,353,353,334,353,353,353,353,353,353,353,353,353
101,2019-02-20,passenger,0,669,669,613,669,669,669,669,669,669,669,668,668
102,2019-02-20,passenger,1,339,339,324,339,339,339,339,339,339,339,339,339
103,2019-02-21,passenger,0,652,652,600,652,652,652,652,652,652,652,650,649
104,2019-02-21,passenger,1,376,376,359,376,376,376,376,376,376,376,376,376
105,2019-02-22,passenger,0,665,665,613,665,665,665,665,665,665,665,663,664
106,2019-02-22,passenger,1,366,366,344,366,366,366,366,366,366,366,366,366
107,2019-02-23,passenger,0,634,634,570,634,634,634,634,634,634,634,632,631
108,2019-02-23,passenger,1,239,239,229,239,239,239,239,239,239,239,239,239
109,2019-02-24,passenger,0,628,628,584,628,628,628,628,628,628,628,627,627
110,2019-02-24,passenger,1,244,244,232,244,244,244,244,244,244,244,244,244
111,2019-02-25,passenger,0,634,634,583,634,634,634,634,634,634,634,632,632
112,2019-02-25,passenger,1,334,334,310,334,334,334,334,334,334,334,334,334
113,2019-02-26,passenger,0,649,649,601,649,649,649,649,649,649,649,648,648
114,2019-02-26,passenger,1,326,326,308,326,326,326,326,326,326,326,326,326
115,2019-02-27,passenger,0,673,673,614,673,673,673,673,673,673,673,672,671
116,2019-02-27,passenger,1,362,362,340,362,362,362,362,362,362,362,362,362
117,2019-02-28,passenger,0,696,696,643,696,696,696,696,696,696,696,695,693
118,2019-02-28,passenger,1,364,364,341,364,364,364,364,364,364,364,364,364
119,2019-03-01,passenger,0,715,715,657,715,715,715,715,715,715,715,712,714
120,2019-03-01,passenger,1,356,356,332,356,356,356,356,356,356,356,356,356
121,2019-03-02,passenger,0,645,645,586,645,645,645,645,645,645,645,643,642
122,2019-03-02,passenger,1,233,233,223,233,233,233,233,233,233,233,233,233
123,2019-03-03,passenger,0,655,655,587,655,655,655,655,655,655,655,653,654
124,2019-03-03,passenger,1,246,246,232,246,246,246,246,246,246,246,246,246
125,2019-03-04,passenger,0,720,720,659,720,720,720,720,720,720,720,719,719
126,2019-03-04,passenger,1,332,332,302,332,332,332,332,332,332,332,332,332
127,2019-03-05,passenger,0,722,722,647,722,722,722,722,722,722,722,719,719
128,2019-03-05,passenger,1,357,357,348,357,357,357,357,357,357,357,357,357
129,2019-03-06,passenger,0,715,715,650,715,715,715,715,715,715,715,714,714
130,2019-03-06,passenger,1,363,363,340,363,363,363,363,363,363,363,363,363
131,2019-03-07,passenger,0,710,710,635,710,710,710,710,710,710,710,709,708
132,2019-03-07,passenger,1,359,359,345,359,359,359,359,359,359,359,359,359
133,2019-03-08,passenger,0,725,725,650,725,725,725,725,725,725,725,723,724
134,2019-03-08,passenger,1,351,351,348,351,351,351,351,351,351,351,351,351
135,2019-03-09,passenger,0,648,648,585,648,648,648,648,648,648,648,646,645
136,2019-03-09,passenger,1,251,251,240,251,251,251,251,251,251,251,251,251
137,2019-03-10,passenger,0,641,641,575,641,641,641,641,641,641,641,640,639
138,2019-03-10,passenger,1,221,221,210,221,221,221,221,221,221,221,221,221
139,2019-03-11,passenger,0,630,630,578,630,630,630,630,630,630,630,627,628
140,2019-03-11,passenger,1,347,347,331,347,347,347,347,347,347,347,347,347
141,2019-03-12,passenger,0,624,624,567,624,624,624,624,624,624,624,622,620
142,2019-03-12,passenger,1,345,345,320,345,345,345,345,345,345,345,345,345
143,2019-03-13,passenger,0,650,650,595,650,650,650,650,650,650,650,648,648
144,2019-03-13,passenger,1,349,349,336,349,349,349,349,349,349,349,349,349
145,2019-03-14,passenger,0,660,660,595,660,660,660,660,660,660,660,655,656
146,2019-03-14,passenger,1,363,363,350,363,363,363,363,363,363,363,363,363
147,2019-03-15,passenger,0,652,652,599,652,652,652,652,652,652,652,651,651
148,2019-03-15,passenger,1,360,360,348,360,360,360,360,360,360,360,360,360
149,2019-03-16,passenger,0,585,585,542,585,585,585,585,585,585,585,583,583
150,2019-03-16,passenger,1,253,253,236,253,253,253,253,253,253,253,253,253
151,2019-03-17,passenger,0,603,603,553,603,603,603,603,603,603,603,599,599
152,2019-03-17,passenger,1,247,247,233,247,247,247,247,247,247,247,247,247
153,2019-03-18,passenger,0,652,652,592,652,652,652,652,652,652,652,650,648
154,2019-03-18,passenger,1,358,358,340,358,358,358,358,358,358,358,358,358
155,2019-03-19,passenger,0,613,613,548,613,613,613,613,613,613,613,610,611
156,2019-03-19,passenger,1,360,360,352,360,360,360,360,360,360,360,360,360
157,2019-03-20,passenger,0,652,652,597,652,652,652,652,652,652,652,650,650
158,2019-03-20,passenger,1,363,363,346,363,363,363,363,363,363,363,363,363
159,2019-03-21,passenger,0,626,626,572,626,626,626,626,626,626,626,625,625
160,2019-03-21,passenger,1,361,361,353,361,361,361,361,361,361,361,361,361
161,2019-03-22,passenger,0,621,621,574,621,621,621,621,621,621,621,618,618
162,2019-03-22,passenger,1,351,351,336,351,351,351,351,351,351,351,351,351
163,2019-03-23,passenger,0,599,599,531,599,599,599,599,599,599,599,597,598
164,2019-03-23,passenger,1,248,248,236,248,248,248,248,248,248,248,248,248
165,2019-03-24,passenger,0,598,598,531,598,598,598,598,598,598,598,596,597
166,2019-03-24,passenger,1,262,262,253,262,262,262,262,262,262,262,262,262
167,2019-03-25,passenger,0,619,619,554,619,619,619,619,619,619,619,615,615
168,2019-03-25,passenger,1,329,329,314,329,329,329,329,329,329,329,329,329
169,2019-03-26,passenger,0,628,628,563,628,628,628,628,628,628,628,627,626
170,2019-03-26,passenger,1,361,361,353,361,361,361,361,361,361,361,361,361
171,2019-03-27,passenger,0,643,643,576,643,643,643,643,643,643,643,641,640
